ID;SEX;BM;AREA_TYPE;AREA;YEAR;order;repeatability;surv;reprod;age;SHYNESS4;EXPLORATION4;ACTIVITY4.oft;SOCIABILITY3;AVOIDANCE3;OTHER3.mis;ALERT3
5146;F;335;RED-GREY;Sal-Passat;2016;2;Y;#N/A;#N/A;#N/A;0.216234453;0.28312775;0.930368889;0.133263845;0.879830465;0.221806733;0.39423492
5147;M;320;RED-GREY;Sal-Passat;2016;1;Y;1;#N/A;3;0.749529946;0.252804234;0.586991054;0;0.946567859;0.236240585;0.183961077
5147;M;315;RED-GREY;Sal-Passat;2016;2;Y;#N/A;#N/A;#N/A;0.945576079;0.132391178;0.295271266;0.08855843;0.657536625;0.217734039;0.708878416
5147;M;330;RED-GREY;Sal-Passat;2017;3;Y;1;#N/A;3;0.933011757;0;0.337617642;0;0.933433543;0.334367289;0.093657895
5147;M;315;RED-GREY;Sal-Passat;2017;4;Y;#N/A;#N/A;#N/A;0.946085891;0.132848635;0.290909091;0;0.813293812;0.524009192;0.204616946
5167;F;270;RED-GREY;C06-04;2016;1;Y;1;0;2;0.55152529;0.246462816;0.742024655;0.870627183;0.334155028;0;0.342407011
5167;F;275;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.622274258;0.415268057;0.48463272;0.170530107;0.612392922;0.183093291;0.748514569
5167;F;350;RED-GREY;C06-04;2017;3;Y;1;1;2;0.814921479;0.149559248;0.558395462;0.109584315;0.922162839;0.276113665;0.239354998
5167;F;280;RED-GREY;C06-04;2017;4;Y;#N/A;#N/A;#N/A;0.797432276;0.164850105;0.575810158;0.308668235;0.621984884;0.452394485;0.539014517
5169;M;280;RED-GREY;C06-04;2016;1;Y;0;#N/A;1;0.693418708;0.232652465;0.58694167;0.231102032;0.839489618;0.202588461;0.435750414
5169;M;320;RED-GREY;C06-04;2017;2;Y;0;#N/A;1;0.675391196;0.232581545;0.698584264;0.586592816;0.585291057;0.481439184;0.23005014
5169;M;340;RED-GREY;C06-04;2017;3;Y;#N/A;#N/A;#N/A;0.799877481;0.233404514;0.551713971;0.240092596;0.886073057;0.36271506;0.138841403
5172;M;325;RED-GREY;C06-04;2016;1;Y;1;#N/A;2;0.527166327;0.260599527;0.783827661;0.817871837;0;0.192695045;0.53313178
5172;M;330;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.665252493;0.271918129;0.610820532;0.325934167;0.843169681;0.395467331;0.144062198
5172;M;330;RED-GREY;C06-04;2017;3;Y;1;#N/A;2;0.533708813;0.105320871;0.782438504;0;0.932957392;0.216881725;0.276896641
5173;F;265;RED-GREY;C06-04;2016;1;Y;1;0;1;0.324039215;0.421310094;0.83769057;0.517187201;0.491804395;0.481026988;0.421489493
5173;F;300;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.870330547;0.174751032;0.45949632;0.901064733;0.06680521;0.388668234;0.046671354
5175;M;315;RED-GREY;Sal-Passat;2016;1;Y;1;#N/A;2;0.720891097;0.293074068;0.592864313;0;0.753315073;0.363796628;0.534875734
5175;M;310;RED-GREY;Sal-Passat;2016;2;Y;#N/A;#N/A;#N/A;0.9425282;0.187192031;0.275827954;0;0.705853703;0.111660927;0.691488519
